Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Camellia Sinensis Essential Oil,Soothing,2,1,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Camellia Sinensis.
Acetylated Wheat Protein,Astringent,0,1,All,Oily,A standard cosmetic astringent used in skincare formulations.
PEG-100 Silk,Surfactant,0,3,All,Dry,A standard cosmetic surfactant used in skincare formulations.
Citrus Aurantium Dulcis Butter,Antioxidant,4,0,Sensitive,None,Natural plant-derived antioxidant from Citrus Aurantium Dulcis.
PPG-15 Elastin,Exfoliant,1,0,Acne,Dry,A standard cosmetic exfoliant used in skincare formulations.
Persea Gratissima Water,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Persea Gratissima.
PEG-20 Tocopherol,Exfoliant,2,4,Oily,None,A standard cosmetic exfoliant used in skincare formulations.
PEG-100 Dioxide,Buffering,0,1,Acne,Oily,A standard cosmetic buffering used in skincare formulations.
Macadamia Ternifolia Wax,Emollient,0,0,Dry,None,Natural plant-derived emollient from Macadamia Ternifolia.
Hydrogenated Hydroxide,Thickener,0,0,Aging,Acne,A standard cosmetic thickener used in skincare formulations.
Sorbitan Lactate,Antioxidant,2,1,Aging,None,A standard cosmetic antioxidant used in skincare formulations.
Caprylic Retinol,Emollient,0,1,Sensitive,Sensitive,A standard cosmetic emollient used in skincare formulations.
Polysorbate 80 Laurate,Soothing,2,1,Dry,None,A standard cosmetic soothing used in skincare formulations.
Acetylated Hyaluronate,Thickener,5,0,Oily,Dry,A standard cosmetic thickener used in skincare formulations.
PPG-10 Dioxide,Thickener,1,1,Acne,Sensitive,A standard cosmetic thickener used in skincare formulations.
Hydrolyzed Ascorbate,Buffering,2,1,Acne,Oily,A standard cosmetic buffering used in skincare formulations.
Glyceryl Ceramide NP,Surfactant,0,1,Oily,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Lauryl Myristate,Preservative,1,5,Sensitive,Dry,A standard cosmetic preservative used in skincare formulations.
Camellia Sinensis Wax,Emollient,0,0,All,None,Natural plant-derived emollient from Camellia Sinensis.
Glyceryl Tocopherol,Humectant,0,1,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
Propyl Soy Protein,Emollient,0,1,Sensitive,Dry,A standard cosmetic emollient used in skincare formulations.
Morus Alba Butter,Humectant,2,0,Acne,None,Natural plant-derived humectant from Morus Alba.
Glycyrrhiza Glabra Callus Culture Extract,Humectant,0,0,Aging,None,Natural plant-derived humectant from Glycyrrhiza Glabra.
Polysorbate 20 Crosspolymer,Humectant,2,1,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
PEG-40 Sorbate,Chelating,0,1,All,Dry,A standard cosmetic chelating used in skincare formulations.
Iron Ceramide EOP,Solvent,2,1,Aging,None,A standard cosmetic solvent used in skincare formulations.
Melaleuca Alternifolia Butter,Humectant,1,0,Acne,None,Natural plant-derived humectant from Melaleuca Alternifolia.
PEG-40 Stearate,Surfactant,0,2,Dry,Oily,A standard cosmetic surfactant used in skincare formulations.
Titanium Lactate,Soothing,1,0,All,Oily,A standard cosmetic soothing used in skincare formulations.
Zinc Laurate,Preservative,1,2,Oily,Dry,A standard cosmetic preservative used in skincare formulations.
Sorbitan Salicylate,Thickener,3,1,Aging,None,A standard cosmetic thickener used in skincare formulations.
Magnesium Hyaluronate,Thickener,5,1,Acne,Oily,A standard cosmetic thickener used in skincare formulations.
Zea Mays Ferment Filtrate,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Zea Mays.
Stearyl Collagen,Surfactant,0,3,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Sodium Elastin,Chelating,2,1,Sensitive,None,A standard cosmetic chelating used in skincare formulations.
PPG-15 Myristate,Astringent,1,1,All,Oily,A standard cosmetic astringent used in skincare formulations.
Cocamidopropyl Oat Protein,Chelating,1,1,Acne,Dry,A standard cosmetic chelating used in skincare formulations.
Polysorbate 80 Carbonate,Humectant,0,0,All,None,A standard cosmetic humectant used in skincare formulations.
Propyl Myristate,Emollient,2,1,All,Acne,A standard cosmetic emollient used in skincare formulations.
Palmitoyl Collagen,Emollient,0,1,Dry,Acne,A standard cosmetic emollient used in skincare formulations.
Potassium Chloride,Thickener,3,0,Acne,Sensitive,A standard cosmetic thickener used in skincare formulations.
Lauroyl Salicylate,Buffering,1,0,Aging,Acne,A standard cosmetic buffering used in skincare formulations.
Zea Mays Essential Oil,Emollient,3,2,Acne,Sensitive,Natural plant-derived emollient from Zea Mays.
Calcium Ceramide EOP,Astringent,1,0,Oily,None,A standard cosmetic astringent used in skincare formulations.
Polyglyceryl-3 Oxide,Viscosity Controller,0,1,Aging,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
PPG-15 Collagen,Emulsifier,1,0,Aging,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 60 Ceramide AP,Antioxidant,1,1,Oily,Dry,A standard cosmetic antioxidant used in skincare formulations.
Palmitoyl Oxide,Emollient,0,0,All,Dry,A standard cosmetic emollient used in skincare formulations.
Copper Linoleate,Thickener,1,1,Sensitive,Acne,A standard cosmetic thickener used in skincare formulations.
Magnesium Oleate,Exfoliant,0,1,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Melaleuca Alternifolia Root Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Melaleuca Alternifolia.
Copper Elastin,Soothing,2,0,Dry,Dry,A standard cosmetic soothing used in skincare formulations.
Avena Sativa Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Avena Sativa.
Butyl Linoleate,Solvent,1,1,Oily,Oily,A standard cosmetic solvent used in skincare formulations.
Chamomilla Recutita Oil,Humectant,3,0,All,None,Natural plant-derived humectant from Chamomilla Recutita.
Calcium Collagen,Viscosity Controller,1,1,All,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Avena Sativa Oil,Antioxidant,1,0,Aging,None,Natural plant-derived antioxidant from Avena Sativa.
Persea Gratissima Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Persea Gratissima.
Glyceryl Laurate,Antioxidant,2,0,All,Acne,A standard cosmetic antioxidant used in skincare formulations.
Morus Alba Callus Culture Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Morus Alba.
Copper Collagen,Soothing,0,1,All,Dry,A standard cosmetic soothing used in skincare formulations.
Hydrogenated Oxide,Solvent,0,0,All,None,A standard cosmetic solvent used in skincare formulations.
Calcium Ascorbate,Antioxidant,0,1,Sensitive,Acne,A standard cosmetic antioxidant used in skincare formulations.
Panax Ginseng Juice,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Panax Ginseng.
Melaleuca Alternifolia Oil,Antioxidant,2,0,Oily,None,Natural plant-derived antioxidant from Melaleuca Alternifolia.
Sorbitan Silk,Viscosity Controller,2,0,Dry,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Acetylated Ascorbate,Soothing,0,1,Acne,None,A standard cosmetic soothing used in skincare formulations.
Cocamidopropyl Wheat Protein,Astringent,2,0,Oily,Acne,A standard cosmetic astringent used in skincare formulations.
Zea Mays Juice,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Zea Mays.
Myristyl Palmitate,Antioxidant,0,0,Sensitive,Oily,A standard cosmetic antioxidant used in skincare formulations.
Isopropyl Silk,Antioxidant,0,1,Oily,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Ethyl Soy Protein,Chelating,2,1,Aging,Sensitive,A standard cosmetic chelating used in skincare formulations.
Aloe Barbadensis Root Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Aloe Barbadensis.
Cocamidopropyl Oleate,Emollient,0,0,Dry,Acne,A standard cosmetic emollient used in skincare formulations.
Polysorbate 60 Oleate,Solvent,2,1,All,Sensitive,A standard cosmetic solvent used in skincare formulations.
Acetylated Panthenol,Antioxidant,1,1,Acne,Acne,A standard cosmetic antioxidant used in skincare formulations.
Argania Spinosa Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Argania Spinosa.
PPG-15 Dioxide,Soothing,2,1,All,Sensitive,A standard cosmetic soothing used in skincare formulations.
Copper Chloride,Solvent,1,0,Oily,Sensitive,A standard cosmetic solvent used in skincare formulations.
PEG-8 Laurate,Surfactant,0,0,All,Acne,A standard cosmetic surfactant used in skincare formulations.
Aluminum Salicylate,Astringent,0,1,All,Oily,A standard cosmetic astringent used in skincare formulations.
Methyl Laurate,Emollient,0,0,Oily,Oily,A standard cosmetic emollient used in skincare formulations.
Cocamidopropyl Lactate,Soothing,1,1,Acne,Sensitive,A standard cosmetic soothing used in skincare formulations.
Titanium Hyaluronate,Buffering,2,1,Oily,Dry,A standard cosmetic buffering used in skincare formulations.
Isobutyl Silk,Solvent,1,0,Sensitive,Sensitive,A standard cosmetic solvent used in skincare formulations.
Butyl Citrate,Preservative,2,4,Acne,Acne,A standard cosmetic preservative used in skincare formulations.
Polysorbate 80 Phosphate,Astringent,0,0,Oily,Dry,A standard cosmetic astringent used in skincare formulations.
PEG-40 Ceramide NP,Thickener,3,0,Sensitive,Dry,A standard cosmetic thickener used in skincare formulations.
Isobutyl Acetate,Antioxidant,0,1,Aging,Dry,A standard cosmetic antioxidant used in skincare formulations.
Aluminum Hyaluronate,Preservative,0,2,Aging,Sensitive,A standard cosmetic preservative used in skincare formulations.
Olea Europaea Bark Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Olea Europaea.
Propyl Gluconate,Astringent,1,0,All,Oily,A standard cosmetic astringent used in skincare formulations.
Cocamidopropyl Acetate,Soothing,1,1,All,None,A standard cosmetic soothing used in skincare formulations.
Polysorbate 60 Chloride,Solvent,1,0,Dry,Sensitive,A standard cosmetic solvent used in skincare formulations.
Methyl Benzoate,Chelating,0,1,Aging,None,A standard cosmetic chelating used in skincare formulations.
Lauryl Ceramide AP,Antioxidant,0,1,Dry,Dry,A standard cosmetic antioxidant used in skincare formulations.
Polysorbate 60 Dioxide,Emulsifier,1,0,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Argania Spinosa Juice,Humectant,0,0,Dry,None,Natural plant-derived humectant from Argania Spinosa.
Capric Niacinamide,Emulsifier,1,1,Acne,Oily,A standard cosmetic emulsifier used in skincare formulations.
Morus Alba Lysate,Emollient,0,0,Aging,None,Natural plant-derived emollient from Morus Alba.
Glyceryl Retinol,Exfoliant,0,4,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
PEG-20 Copolymer,Thickener,3,1,Sensitive,Acne,A standard cosmetic thickener used in skincare formulations.
Sorbitan Ascorbate,Surfactant,2,5,Dry,None,A standard cosmetic surfactant used in skincare formulations.
Hydrolyzed Oxide,Solvent,2,0,All,None,A standard cosmetic solvent used in skincare formulations.
Copper Wheat Protein,Soothing,1,0,Oily,Oily,A standard cosmetic soothing used in skincare formulations.
PPG-10 Linoleate,Exfoliant,2,1,Sensitive,Acne,A standard cosmetic exfoliant used in skincare formulations.
Olea Europaea Wax,Humectant,0,0,Dry,None,Natural plant-derived humectant from Olea Europaea.
Sodium Peptide,Emollient,3,0,Oily,Sensitive,A standard cosmetic emollient used in skincare formulations.
Citrus Limon Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Citrus Limon.
Butyrospermum Parkii Ferment Filtrate,Humectant,0,0,All,None,Natural plant-derived humectant from Butyrospermum Parkii.
Titanium Keratin,Emulsifier,0,1,Dry,Dry,A standard cosmetic emulsifier used in skincare formulations.
Sodium Panthenol,Solvent,2,0,Dry,Acne,A standard cosmetic solvent used in skincare formulations.
Palmitoyl Ceramide NP,Viscosity Controller,0,1,Aging,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Lauroyl Wheat Protein,Solvent,1,0,Acne,None,A standard cosmetic solvent used in skincare formulations.
Argania Spinosa Fruit Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Argania Spinosa.
Mentha Piperita Flower Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Mentha Piperita.
Polyglyceryl-3 Panthenol,Chelating,2,0,All,Acne,A standard cosmetic chelating used in skincare formulations.
Isopropyl Ceramide AP,Exfoliant,2,1,Oily,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Copper Citrate,Astringent,1,0,Acne,Dry,A standard cosmetic astringent used in skincare formulations.
Cetyl Copolymer,Astringent,2,0,Oily,Acne,A standard cosmetic astringent used in skincare formulations.
Vitis Vinifera Butter,Antioxidant,4,0,Sensitive,None,Natural plant-derived antioxidant from Vitis Vinifera.
Zinc Ceramide EOP,Soothing,0,0,Oily,Sensitive,A standard cosmetic soothing used in skincare formulations.
PEG-8 Citrate,Thickener,2,0,Sensitive,Oily,A standard cosmetic thickener used in skincare formulations.
Simmondsia Chinensis Fruit Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Simmondsia Chinensis.
Butyl Peptide,Chelating,0,1,Oily,Sensitive,A standard cosmetic chelating used in skincare formulations.
Acetylated Ceramide AP,Chelating,0,1,All,Acne,A standard cosmetic chelating used in skincare formulations.
Cocos Nucifera Root Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Cocos Nucifera.
Polysorbate 20 Ceramide NP,Preservative,1,4,Aging,Sensitive,A standard cosmetic preservative used in skincare formulations.
Sorbitan Dioxide,Emulsifier,0,0,All,Oily,A standard cosmetic emulsifier used in skincare formulations.
Cocoyl Chloride,Chelating,0,1,Aging,Acne,A standard cosmetic chelating used in skincare formulations.
Propyl Lactate,Solvent,1,0,Dry,None,A standard cosmetic solvent used in skincare formulations.
PEG-20 Elastin,Surfactant,0,0,Sensitive,None,A standard cosmetic surfactant used in skincare formulations.
Cetearyl Stearate,Soothing,1,0,Dry,None,A standard cosmetic soothing used in skincare formulations.
Caprylic Ceramide NP,Soothing,2,1,Acne,Sensitive,A standard cosmetic soothing used in skincare formulations.
PPG-10 Elastin,Emollient,5,0,Aging,Dry,A standard cosmetic emollient used in skincare formulations.
PEG-100 Copolymer,Buffering,2,1,Aging,Oily,A standard cosmetic buffering used in skincare formulations.
Propyl Ceramide AP,Soothing,2,0,Acne,Oily,A standard cosmetic soothing used in skincare formulations.
Lauryl Oat Protein,Thickener,0,1,Oily,Sensitive,A standard cosmetic thickener used in skincare formulations.
Hydrogenated Chloride,Emollient,0,0,Sensitive,Acne,A standard cosmetic emollient used in skincare formulations.
Cocamidopropyl Collagen,Soothing,2,0,Acne,Acne,A standard cosmetic soothing used in skincare formulations.
PEG-40 Keratin,Surfactant,1,0,Sensitive,Acne,A standard cosmetic surfactant used in skincare formulations.
Mentha Piperita Water,Humectant,0,0,Oily,None,Natural plant-derived humectant from Mentha Piperita.
Cocoyl Retinol,Soothing,1,1,All,None,A standard cosmetic soothing used in skincare formulations.
Camellia Sinensis Lysate,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Camellia Sinensis.
Calcium Stearate,Emulsifier,1,1,Aging,Oily,A standard cosmetic emulsifier used in skincare formulations.
Panax Ginseng Ferment Filtrate,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Panax Ginseng.
Polysorbate 60 Crosspolymer,Exfoliant,0,5,Aging,Dry,A standard cosmetic exfoliant used in skincare formulations.
Cetearyl Sorbate,Astringent,2,0,Sensitive,Acne,A standard cosmetic astringent used in skincare formulations.
Punica Granatum Ferment Filtrate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Punica Granatum.
Magnesium Dioxide,Humectant,2,1,Aging,Acne,A standard cosmetic humectant used in skincare formulations.
Persea Gratissima Leaf Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Persea Gratissima.
Polysorbate 20 Dioxide,Humectant,2,0,Oily,None,A standard cosmetic humectant used in skincare formulations.
Punica Granatum Water,Humectant,0,0,Acne,None,Natural plant-derived humectant from Punica Granatum.
Sodium Hyaluronate,Chelating,1,0,All,Acne,A standard cosmetic chelating used in skincare formulations.
Cetearyl Palmitate,Chelating,2,1,Dry,Acne,A standard cosmetic chelating used in skincare formulations.
Hydrogenated Hyaluronate,Buffering,2,1,All,Dry,A standard cosmetic buffering used in skincare formulations.
Magnesium Stearate,Buffering,0,0,Aging,None,A standard cosmetic buffering used in skincare formulations.
Polysorbate 60 Oat Protein,Humectant,0,1,Dry,Sensitive,A standard cosmetic humectant used in skincare formulations.
Isopropyl Linoleate,Preservative,0,2,Aging,Sensitive,A standard cosmetic preservative used in skincare formulations.
PEG-40 Hyaluronate,Antioxidant,0,0,All,None,A standard cosmetic antioxidant used in skincare formulations.
Glyceryl Sulfate,Antioxidant,1,1,Acne,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Methyl Salicylate,Emulsifier,2,0,Sensitive,Acne,A standard cosmetic emulsifier used in skincare formulations.
Glycyrrhiza Glabra Ferment Filtrate,Emollient,0,0,All,None,Natural plant-derived emollient from Glycyrrhiza Glabra.
Methyl Ascorbate,Buffering,1,1,Acne,None,A standard cosmetic buffering used in skincare formulations.
Capric Oleate,Humectant,1,0,Dry,Oily,A standard cosmetic humectant used in skincare formulations.
Cocoyl Gluconate,Viscosity Controller,2,1,Oily,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Iron Myristate,Viscosity Controller,0,0,Oily,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Butyrospermum Parkii Juice,Humectant,0,0,All,None,Natural plant-derived humectant from Butyrospermum Parkii.
Prunus Amygdalus Dulcis Water,Emollient,0,0,Aging,None,Natural plant-derived emollient from Prunus Amygdalus Dulcis.
Methyl Oxide,Buffering,1,0,Aging,Oily,A standard cosmetic buffering used in skincare formulations.
PPG-15 Crosspolymer,Antioxidant,2,0,Sensitive,Dry,A standard cosmetic antioxidant used in skincare formulations.
Caprylic Palmitate,Solvent,0,1,All,Acne,A standard cosmetic solvent used in skincare formulations.
Isopropyl Citrate,Humectant,2,1,Oily,Acne,A standard cosmetic humectant used in skincare formulations.
Polysorbate 60 Oxide,Exfoliant,2,5,Acne,None,A standard cosmetic exfoliant used in skincare formulations.
Capric Chloride,Preservative,2,1,Dry,None,A standard cosmetic preservative used in skincare formulations.
Rosa Damascena Flower Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Rosa Damascena.
Propyl Wheat Protein,Soothing,2,0,Aging,Dry,A standard cosmetic soothing used in skincare formulations.
Rubus Idaeus Callus Culture Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Rubus Idaeus.
Behenyl Sulfate,Exfoliant,2,3,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Ethyl Silk,Solvent,1,1,All,Sensitive,A standard cosmetic solvent used in skincare formulations.
Myristyl Peptide,Solvent,0,1,Sensitive,Dry,A standard cosmetic solvent used in skincare formulations.
Cocamidopropyl Linoleate,Emulsifier,0,0,Dry,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Ethyl Hyaluronate,Emulsifier,0,1,Sensitive,None,A standard cosmetic emulsifier used in skincare formulations.
Myristoyl Carbonate,Buffering,0,1,Acne,None,A standard cosmetic buffering used in skincare formulations.
Polyglyceryl-3 Salicylate,Emulsifier,0,0,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Magnesium Oat Protein,Soothing,2,1,All,Sensitive,A standard cosmetic soothing used in skincare formulations.
Hydrogenated Acetate,Viscosity Controller,0,0,Aging,Dry,A standard cosmetic viscosity controller used in skincare formulations.
PEG-8 Palmitate,Preservative,0,2,All,Oily,A standard cosmetic preservative used in skincare formulations.
Palmitoyl Acetate,Buffering,0,1,Aging,Oily,A standard cosmetic buffering used in skincare formulations.
Palmitoyl Crosspolymer,Viscosity Controller,0,0,All,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Calendula Officinalis Wax,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Calendula Officinalis.
Zinc Hyaluronate,Soothing,0,1,Oily,Sensitive,A standard cosmetic soothing used in skincare formulations.
Acetylated Ceramide EOP,Emollient,2,0,Dry,Acne,A standard cosmetic emollient used in skincare formulations.
Calcium Hydroxide,Emulsifier,2,1,Sensitive,Dry,A standard cosmetic emulsifier used in skincare formulations.
Cocoyl Myristate,Chelating,0,1,Acne,Sensitive,A standard cosmetic chelating used in skincare formulations.
Rosmarinus Officinalis Lysate,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Rosmarinus Officinalis.
PEG-8 Niacinamide,Surfactant,1,5,All,Acne,A standard cosmetic surfactant used in skincare formulations.
Cetearyl Ceramide AP,Astringent,2,1,Sensitive,Oily,A standard cosmetic astringent used in skincare formulations.
Stearyl Ascorbate,Humectant,1,1,Oily,Acne,A standard cosmetic humectant used in skincare formulations.
Propyl Dioxide,Exfoliant,2,1,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Stearyl Ceramide NP,Solvent,0,0,Oily,None,A standard cosmetic solvent used in skincare formulations.
Polysorbate 60 Stearate,Antioxidant,1,1,Oily,None,A standard cosmetic antioxidant used in skincare formulations.
Stearyl Laurate,Antioxidant,1,1,Oily,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Chloride,Viscosity Controller,2,1,All,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Lauroyl Benzoate,Chelating,1,0,Sensitive,Oily,A standard cosmetic chelating used in skincare formulations.
PPG-10 Citrate,Viscosity Controller,2,0,Acne,None,A standard cosmetic viscosity controller used in skincare formulations.
Isopropyl Keratin,Viscosity Controller,2,1,Aging,None,A standard cosmetic viscosity controller used in skincare formulations.
Oryza Sativa Wax,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Oryza Sativa.
Polysorbate 80 Ascorbate,Chelating,1,1,Acne,None,A standard cosmetic chelating used in skincare formulations.
Acetylated Palmitate,Solvent,2,1,Dry,Dry,A standard cosmetic solvent used in skincare formulations.
Cocamidopropyl Silk,Soothing,2,0,Sensitive,Sensitive,A standard cosmetic soothing used in skincare formulations.
PEG-20 Crosspolymer,Thickener,2,0,Aging,Acne,A standard cosmetic thickener used in skincare formulations.
Polyglyceryl-3 Wheat Protein,Astringent,1,1,Sensitive,Dry,A standard cosmetic astringent used in skincare formulations.
Hydrolyzed Elastin,Astringent,1,1,Dry,None,A standard cosmetic astringent used in skincare formulations.
Behenyl Silk,Preservative,1,4,Sensitive,Dry,A standard cosmetic preservative used in skincare formulations.
Capric Elastin,Preservative,2,1,Dry,None,A standard cosmetic preservative used in skincare formulations.
Cocos Nucifera Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Cocos Nucifera.
Cetearyl Soy Protein,Surfactant,1,2,Dry,None,A standard cosmetic surfactant used in skincare formulations.
PEG-8 Hyaluronate,Astringent,2,0,Dry,None,A standard cosmetic astringent used in skincare formulations.
Myristyl Tocopherol,Antioxidant,0,1,Oily,Dry,A standard cosmetic antioxidant used in skincare formulations.
Calcium Benzoate,Buffering,2,1,Aging,Acne,A standard cosmetic buffering used in skincare formulations.
Stearyl Myristate,Emulsifier,2,0,Sensitive,Acne,A standard cosmetic emulsifier used in skincare formulations.
Aloe Barbadensis Ferment Filtrate,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Aloe Barbadensis.
PEG-20 Benzoate,Thickener,4,0,All,Dry,A standard cosmetic thickener used in skincare formulations.
Methyl Collagen,Viscosity Controller,1,0,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Polysorbate 60 Sorbate,Exfoliant,1,1,Oily,Dry,A standard cosmetic exfoliant used in skincare formulations.
Zea Mays Butter,Soothing,3,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Zea Mays.
Butyl Wheat Protein,Thickener,2,0,Aging,Oily,A standard cosmetic thickener used in skincare formulations.
Cetearyl Salicylate,Thickener,1,1,Oily,Acne,A standard cosmetic thickener used in skincare formulations.
Titanium Silk,Exfoliant,1,4,Dry,None,A standard cosmetic exfoliant used in skincare formulations.
Iron Soy Protein,Chelating,2,0,Dry,Dry,A standard cosmetic chelating used in skincare formulations.
Propyl Hyaluronate,Emulsifier,1,0,Sensitive,Oily,A standard cosmetic emulsifier used in skincare formulations.
PPG-15 Sulfate,Viscosity Controller,2,0,Aging,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Cocos Nucifera Ferment Filtrate,Emollient,0,0,Oily,None,Natural plant-derived emollient from Cocos Nucifera.
Morus Alba Fruit Extract,Humectant,0,0,Aging,None,Natural plant-derived humectant from Morus Alba.
Aluminum Soy Protein,Humectant,1,1,Acne,None,A standard cosmetic humectant used in skincare formulations.
PPG-10 Keratin,Surfactant,2,3,Sensitive,Dry,A standard cosmetic surfactant used in skincare formulations.
Punica Granatum Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Punica Granatum.
Citrus Aurantium Dulcis Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Citrus Aurantium Dulcis.
Punica Granatum Butter,Emollient,3,0,Acne,None,Natural plant-derived emollient from Punica Granatum.
Palmitoyl Wheat Protein,Thickener,0,0,Aging,Dry,A standard cosmetic thickener used in skincare formulations.
Chamomilla Recutita Callus Culture Extract,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Chamomilla Recutita.
Potassium Soy Protein,Humectant,1,0,Sensitive,Dry,A standard cosmetic humectant used in skincare formulations.
Glyceryl Myristate,Preservative,2,1,Sensitive,Acne,A standard cosmetic preservative used in skincare formulations.
Panax Ginseng Callus Culture Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Panax Ginseng.
PPG-15 Copolymer,Preservative,2,1,Dry,Sensitive,A standard cosmetic preservative used in skincare formulations.
Stearyl Citrate,Exfoliant,2,2,Dry,Dry,A standard cosmetic exfoliant used in skincare formulations.
Hydrolyzed Hydroxide,Solvent,1,0,Oily,Dry,A standard cosmetic solvent used in skincare formulations.
Sodium Ceramide NP,Buffering,1,1,Dry,None,A standard cosmetic buffering used in skincare formulations.
Polysorbate 60 Hyaluronate,Antioxidant,0,0,All,Oily,A standard cosmetic antioxidant used in skincare formulations.
Caprylic Myristate,Preservative,0,3,Sensitive,Sensitive,A standard cosmetic preservative used in skincare formulations.
Polysorbate 80 Peptide,Astringent,1,1,Sensitive,Dry,A standard cosmetic astringent used in skincare formulations.
Glycyrrhiza Glabra Leaf Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycyrrhiza Glabra.
Iron Silk,Preservative,2,5,All,Oily,A standard cosmetic preservative used in skincare formulations.
Sodium Laurate,Humectant,2,1,Oily,Sensitive,A standard cosmetic humectant used in skincare formulations.
Citrus Limon Root Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Citrus Limon.
Iron Copolymer,Antioxidant,2,0,Acne,Oily,A standard cosmetic antioxidant used in skincare formulations.
Cocos Nucifera Leaf Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Cocos Nucifera.
Citrus Limon Bark Extract,Emollient,0,0,Oily,None,Natural plant-derived emollient from Citrus Limon.
Hydrolyzed Salicylate,Antioxidant,1,1,Oily,None,A standard cosmetic antioxidant used in skincare formulations.
Eucalyptus Globulus Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Eucalyptus Globulus.
Cetearyl Ceramide NP,Chelating,1,1,Sensitive,Sensitive,A standard cosmetic chelating used in skincare formulations.
Butyl Keratin,Surfactant,2,3,All,Oily,A standard cosmetic surfactant used in skincare formulations.
Butyl Collagen,Antioxidant,2,0,Aging,Dry,A standard cosmetic antioxidant used in skincare formulations.
Glycine Soja Wax,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Glycine Soja.
Cocos Nucifera Wax,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Cocos Nucifera.
